"";"reportyear";"djelatnosti";"n";"prihod";"izvoz";"uvoz";"k_dug";"d_dug";"rad";"energy";"placa";"amortizacija";"fin_rashod";"tax_nett";"nett";"kapital";"plata";"dv";"dug"
"42";2013;"tercijarni";75507;338,562036698;34,742985936;49,158051802;197,635229387;155,768590716;482790;8,658104128;44,423694265;15,747641959;15,515824427;0,402602903;0,826254165;148,239840114;7667,87738371411;76,916017719;353,403820103
"43";2014;"primarni";2960;18,681488233;2,057448807;1,461828231;11,630987481;8,241655232;27356;0,687606089;2,412792537;1,104553691;0,984785943;-0,162157596;-0,214884381;10,566832406;7349,97970280743;4,125090194;19,872642713
"44";2014;"sekundarni";25990;241,163431232;66,503215355;50,399903218;145,037833676;130,798396893;346802;10,22397261;31,782764322;14,265462759;10,481954322;0,88330348;7,575945976;207,676359656;7637,10616864955;64,989430859;275,836230569
"45";2014;"tercijarni";75328;335,713645637;37,52838861;46,99698932;187,704398132;155,594507013;481034;7,512955981;45,474143825;15,573309435;18,721275635;-0,161680212;2,368732795;155,556130138;7877,84644207409;81,975781478;343,298905145
"46";2015;"primarni";3011;19,185712496;2,252316188;1,54686077;12,455032235;6,156882821;27895;1,31185937;2,476619194;1,182927936;0,698468046;-0,154319848;0,350162186;12,8953153;7398,63534086156;4,553857514;18,611915056
"47";2015;"sekundarni";26139;243,903300832;70,532547661;51,790108217;142,319004703;126,783493076;347542;10,004106051;32,437405809;14,51109751;9,760696555;0,365754139;5,975222173;212,138196802;7777,81433826703;63,050176186;269,102497779
"48";2015;"tercijarni";77221;352,160800364;42,526609243;51,128179773;191,95604683;145,585115438;492210;7,32400364;46,772004291;16,293120168;13,835636506;0,150410992;10,780921044;178,028808395;7918,70751152963;87,832093001;337,541162268
"49";2016;"primarni";3219;17,788636747;2,47462085;1,558899272;9,668354947;6,285691465;26086;0,52972589;2,325498589;1,051332177;0,462978173;-0,095091496;0,519993213;10,714487237;7428,94844297069;4,264710656;15,954046412
"50";2016;"sekundarni";27713;239,200008112;68,965416705;49,510589534;142,347841278;125,089096787;353323;10,478528749;33,356903847;14,687162827;7,683895164;0,247047147;9,736629287;216,205396923;7867,42438859061;65,711638272;267,436938065
"51";2016;"tercijarni";83490;361,634164147;48,040582384;49,345786933;172,641046758;136,70790765;506656;8,930650789;49,053235893;16,796329426;10,854330528;0,20105863;13,786950073;192,044075988;8068,13628527048;90,69190455;309,348954408
"52";2017;"primarni";3324;18,613052951;2,640833761;1,931204635;9,596001926;6,413590207;26372;0,617921538;2,407999937;1,135866556;0,458754226;0,019166305;0,557877343;11,505752353;7609,08013865716;4,579664367;16,009592133
"53";2017;"sekundarni";28753;258,666099427;81,087121505;54,838907398;137,979654902;125,949486328;365596;7,942919074;35,5427439;15,693948168;8,688979102;-0,218231035;8,524741036;221,04220602;8101,55287530498;68,232181171;263,92914123
"54";2017;"tercijarni";87992;387,810184446;54,205071777;61,47864038;165,032541546;140,314207494;530796;7,806864997;52,69721005;17,9464399;11,596175536;0,148518296;12,692368496;198,69028016;8273,29929169273;95,080712278;305,34674904
"55";2018;"primarni";3557;21,854616479;3,232980204;2,199291465;13,697214985;6,80307992;30011;0,655849856;2,878008997;1,396016262;0,440935169;-0,155851403;0,40602859;10,149813863;7991,53920506925;4,965137615;20,500294905
"56";2018;"sekundarni";31327;281,174935126;85,175314713;60,62175785;145,870898562;121,151392429;385605;11,098045037;38,98134152;16,251166001;6,94125927;0,487970761;9,85250837;219,127446566;8424,28165264109;72,514245922;267,022290991
"57";2018;"tercijarni";96251;433,120160721;58,885477788;69,701192054;219,15891626;147,036362944;568463;8,924163567;57,884731637;19,586544181;11,092697482;0,019545135;17,86722793;177,220332234;8485,56130551446;106,450746365;366,195279204
"58";2019;"primarni";3569;23,437783736;3,501489606;2,328350895;10,049420038;9,781237933;31310;0,673821214;2,965695831;1,50625526;0,563639694;-0,248789141;0,663823151;12,353419624;7893,36695145321;5,450624795;19,830657971
"59";2019;"sekundarni";32949;297,59458186;84,585354741;61,199635671;141,106933493;133,9469676;393791;9,075079662;41,315259986;17,562687512;6,048232084;-0,224800121;11,251578607;235,869435236;8743,05997893976;75,952958068;275,053901093
"60";2019;"tercijarni";99867;462,492167424;63,427397296;74,303180195;180,467714883;181,845003792;591333;9,143829832;62,208204331;23,068981076;10,999308895;0,087622224;19,327225698;230,363115709;8766,66282379528;115,691342224;362,312718675
